# Force field file
# epsilon is in units Kelvin
# sigma is in units Angstrom
# uses defn for LJ potential:
# 4 * epsilon * [ x ^ 12 - x ^ 6 ], where x = sigma / r
atom,epsilon,sigma
CH4,148.0,3.73
CH3,98.0,3.75
N2,36.0,3.31
Ag,18.13602,2.80455
Al,254.40806,4.00815
As,155.66751,3.76850
Au,19.64736,2.93373
B,90.68010,3.63754
Ba,183.37531,3.29900
Be,42.82116,2.44552
Bi,260.95718,3.89323
Br,126.44836,3.73197
C,52.89673,3.43085
Ca,119.89924,3.02816
Cd,114.86146,2.53728
Ce,6.54912,3.16804
Cl,114.35768,3.51638
Co,7.05290,2.55866
Cr,7.55668,2.69319
Cs,22.67003,4.02419
Cu,2.51889,3.11369
Dy,3.52645,3.05400
Er,3.52645,3.02104
Eu,4.03023,3.11191
F,25.18892,2.99698
Fe,6.54912,2.59430
Ga,209.06801,3.90481
Gd,4.53401,3.00055
Ge,190.93199,3.81305
H,22.16625,2.57113
Hf,36.27204,2.79831
Hg,193.95466,2.40988
Ho,3.52645,3.03707
I,170.78086,4.00904
In,301.76322,3.97608
Ir,36.77582,2.53015
K,17.63224,3.39611
La,8.56423,3.13775
Li,12.59446,2.18359
Lu,20.65491,3.24287
Mg,55.91940,2.69141
Mn,6.54912,2.63795
Mo,28.21159,2.71902
N,34.76071,3.26069
Na,15.11335,2.65755
Nb,29.72292,2.81969
Nd,5.03778,3.18496
Ni,7.55668,2.52481
Np,9.57179,3.05044
O,30.22670,3.11815
P,153.65239,3.69456
Pb,334.00504,3.82819
Pd,24.18136,2.58272
Pr,5.03778,3.21258
Pt,40.30227,2.45354
Rb,20.15113,3.66516
Re,33.24937,2.63171
Rh,26.70025,2.60944
Ru,28.21159,2.63973
S,138.03526,3.59478
Sb,226.19647,3.93777
Sc,9.57179,2.93551
Se,146.59950,3.74623
Si,202.51889,3.82641
Sm,4.03023,3.13596
Sn,285.64232,3.91283
Sr,118.38791,3.24376
Tb,3.52645,3.07449
Te,200.50378,3.98232
Th,13.09824,3.02549
Ti,8.56423,2.82860
Tm,3.02267,3.00589
V,8.06045,2.80099
Y,36.27204,2.98006
Yb,114.86146,2.98897
Zn,62.46851,2.46155
Zr,34.76071,2.78317
